p1-01-stale-install	org-shared-runtime-effective-diagnosis
p1-02-wrong-hermes-home	org-shared-runtime-effective-diagnosis
p1-03-toolset-vs-reachability	org-shared-runtime-effective-diagnosis
p2-01	architecture-diagram
p3-01-guests-no-date	org-catering-inquiry-completeness
p3-02-date-guests-no-venue	org-catering-inquiry-completeness
p3-03-delivery-unspecified	org-catering-inquiry-completeness
p3-04-ambiguous-dietary	org-catering-inquiry-completeness
p3-05-no-mealtime-or-style	org-catering-inquiry-completeness
p3-06-quote-demand-insufficient	org-catering-inquiry-completeness
p4-01-complete	org-catering-approved-data-proposal
p4-02-omitted-price	org-catering-approved-data-proposal
p4-03-unavailable-item	org-catering-approved-data-proposal
p4-04-unresolved-condition	org-catering-approved-data-proposal
p6-01-replace-photo	org-flyer-edit-scope-spec
p6-02-add-phone	org-flyer-edit-scope-spec
p6-03-remove-section	org-flyer-edit-scope-spec
p6-04-change-date	org-flyer-edit-scope-spec
p6-05-resize-print	org-flyer-edit-scope-spec
